_id,title,link,description,blogger,bloggerlink,date
67a853ed02e3b7f2ce166429,2월 첫째주 일상,https://blog.naver.com/wow114-/223754096888,밥 먹고 #렌즈 찾으러 다녀옴 요즘 자잘한 약속이 쩜 있어서 꾸미고 외출을 많이 했더니 #원데이렌즈 를 많이 써서 새로 삼 평소 끼던 거랑 다른 색 사보고 싶어서 후기 보니까 이정도 발색은 안됨 #<b>마이피픈</b>... ,✨✏,blog.naver.com/wow114-,20250209
67a853ed02e3b7f2ce16642a,<b>마이피픈</b> 안나수이 13.6 렌즈 셀카 잘나오는 렌즈로 추천,https://blog.naver.com/zd1353zd/223754059994,여러분들에게 보여드릴 수 있어서 기쁘네요 지금부터 <b>마이피픈</b> 안나수이 13.6 렌즈 셀카 잘나오는 렌즈로 추천 포스팅 시작해볼게요 ~! 이번 <b>마이피픈</b> 안나수이 파란티카 렌즈가 새로 나왔어요 신상 너무 좋아..!!... ,덩이의 이모저모⋆¸*ೃ☼,blog.naver.com/zd1353zd,20250209
67a853ed02e3b7f2ce16642b,<b>마이피픈</b> 안나수이 - 파란티카 바이올렛&amp;애쉬 | 코스프레렌즈 추천,https://blog.naver.com/hss05188/223752870215,new brand launching 글로벌 브랜드 [안나수이]를 <b>마이피픈</b>에서 만나볼 수 있습니다! 역시 콜라보 맛집 <b>마이피픈</b> 이번에는 안나수이! ✔️직경: 13.6mm ✔️1month lens ✔️도수범위: 0.00 ~ -8.00 ✔️재질... ,미니마니해,blog.naver.com/hss05188,20250208
67a853ed02e3b7f2ce16642c,천안안경 새학기 맞이 2월의 혜택,https://blog.naver.com/ahdka0107/223751656190,스텔리스트 자세히 보기   마이오스마트 자세히 보기   혜택  다양하고 가성비 좋은 안경테! 미니멀한... 뷰티렌즈 <b>마이피픈</b> 이제 다비치안경천안쌍용점에서도 만나보실 수 있습니다! 돌아가지 않는... ,다비치안경 천안쌍용점,blog.naver.com/ahdka0107,20250207
67a853ed02e3b7f2ce16642d,"K비젼안경 태전점, 완벽한 안경을 만나보세요!",https://blog.naver.com/k456341/223750825358,"<b>마이피픈</b> 비비안 웨스트우드 렌즈는 디자인도 너무 예뻐서 눈을 사로잡았어요! 또한, 이곳에서는 세련된 디자인을 자랑하는 안경테나 렌즈를 많이 다루고 있어서, 취향에 맞는 완벽한 안경을 찾을 수 있어요.... ",k456341님의 블로그,blog.naver.com/k456341,20250207
67a853ed02e3b7f2ce16642e,2월에 chill2월 블로그 쓰는 chillchill 못해먹겟네 그냥... ,https://blog.naver.com/jhhh9999/223750563006,"않습니다 <b>마이피픈</b> 키티렌즈 좀 심심한 디자인이지만 키티 귀여움 넘버즈인 꽤 효과가 있는 거 같기도... 그치만 내사진 그렇게 크게 쓸거면!! 팩 더 줘 칩거생활 한다매? 이건,,, 이미 잡힌 약속이라서,, 올해는... ",데일리지,blog.naver.com/jhhh9999,20250207
67a853ed02e3b7f2ce16642f,[콘택트]ONLY 2월 <b>마이피픈</b>X다비치 단독 프로모션,https://blog.naver.com/backsuc/223750186518,"소개해드린 <b>마이피픈</b>의 픽싱렌즈, 비비안웨스트우드 원먼스에 관한 특별가 행사입니다! 이 제품이 2월을 맞이하여 16% 할인된 가격으로 판매 중이라는 사실! 여러분께만 알려드릴게요! 먼저 <b>마이피픈</b>에서 나온... ",다비치안경 천안백석점,blog.naver.com/backsuc,20250206
67a853ed02e3b7f2ce166430,다비치안경[구리/구리교문] <b>마이피픈</b> 프로모션 &amp; 추가행사,https://blog.naver.com/davichguri/223749974557,다들 <b>마이피픈</b>이라고 아시나요? 다양하고 예쁜 렌즈 종류도 많지만 축이 고정되어 잘 돌아가지 않는 렌즈라고 많이들 알고 계실 겁니다 <b>마이피픈</b>은 렌즈 매장인데 다비치 여러 매장에도 입점되어... ,다비치안경 구리점&구리교문점,blog.naver.com/davichguri,20250206
67a853ed02e3b7f2ce166431,류나의 2024년 12월 바이바이,https://blog.naver.com/ryunaaaa/223749542710,하응이가 사준 <b>마이피픈</b> 헬로키티 콜라보 ㅠㅠㅠ 헬로키티 콜라보 다들 맘껏 내줘라ㅏㅏㅏ 애공이랑... 사준 <b>마이피픈</b> 콜라보 ~~ 이걸 누가 들고 다니냐고? 나 ㅎ  세상 졸귀 밥 먹고 넘 배불러서 올림픽공원... ,류나의 하루,blog.naver.com/ryunaaaa,20250206
67a853ed02e3b7f2ce166432,약속대로 <b>마이피픈</b> 리뷰~&gt;&lt;,https://blog.naver.com/serin0921/223748896841,#그레이렌즈 #렌즈추천 #<b>마이피픈</b>협찬 #안나수이렌즈 #파란티카애쉬 #컬러렌즈추천 안녕하세요! 조금... 거같아서 너무너무 기분이 좋더라구요 이런 예쁜 렌즈 서포팅할 기회를 준 @<b>마이피픈</b> 에 감사인사 올립니다,언니랑 동생이 함께 운영하는 블로그,blog.naver.com/serin0921,20250205
