_id,product,price,writer,content,date,rating
67a834cffdfed3533316a360,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-08,5
67a834cffdfed3533316a361,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-08,5
67a834cffdfed3533316a362,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,황**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-08,5
67a834cffdfed3533316a363,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,황**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-08,5
67a834cffdfed3533316a364,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-07,5
67a834d1fdfed3533316a365,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,구**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-07,5
67a834d1fdfed3533316a366,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,구**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-07,5
67a834d1fdfed3533316a367,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,이**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-07,5
67a834d1fdfed3533316a368,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-05,5
67a834d1fdfed3533316a369,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,NEW 오래끼면돌아가있는데 픽싱나와서 너무좋음 렌즈는이걸로정착,2025-02-05,5
67a834d4fdfed3533316a36a,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,NEW 오래끼면돌아가있는데 픽싱나와서 너무좋음 렌즈는이걸로정착,2025-02-05,5
67a834d4fdfed3533316a36b,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,오**,NEW 고정이 잘 되고 색감도 예뻐요!,2025-02-05,5
67a834d4fdfed3533316a36c,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,오**,NEW 고정이 잘 되고 색감도 예뻐요!,2025-02-05,5
67a834d4fdfed3533316a36d,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,조**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-05,5
67a834d4fdfed3533316a36e,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,조**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-05,5
67a834d6fdfed3533316a36f,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-05,5
67a834d6fdfed3533316a370,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,NEW 인생 렌즈에요 굿굿,2025-02-05,5
67a834d6fdfed3533316a371,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,이**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-04,5
67a834d6fdfed3533316a372,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,이**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-04,5
67a834d6fdfed3533316a373,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,이**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-04,5
67a834d9fdfed3533316a374,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-04,5
67a834d9fdfed3533316a375,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-04,5
67a834d9fdfed3533316a376,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,오**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-04,5
67a834d9fdfed3533316a377,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,원**,NEW 눈동즈 크기보다 작아서 눈이 하얘 보였음 ..,2025-02-04,1
67a834d9fdfed3533316a378,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-04,5
67a834dbfdfed3533316a379,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,김**,"NEW 고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-04,5
67a834dbfdfed3533316a37a,픽싱 • 라운 그란데 - 애쉬 13.5 [원먼스/2PCS],30000,노**,"고객님께서 해당 제품을 ""만족""으로 평가해주셨습니다.",2025-02-03,5
